condition,type,side,id,source,max_abs_delta_q,final_delta_q,min_delta_q,max_delta_q,baseline_max_q,pulse_end_delta_q,max_abs_delta_synaptic_input,maximum_argument_over_all_queries,classification,tau_s,gain,theta
DNa03_derecha,DNa11,R,11233,False,0.0,0.0,0.0,0.0,1.63e-322,0.0,236.92873107772903,-0.3730703003238343,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.0165187306702137,0.0001981259453434468,184.27879333496094
DNa03_derecha,DNb02,R,10805,False,0.0024072884105485783,0.0007357315204005481,2.0323881629860305e-07,0.0024072884105485783,0.004375022051082948,0.0016937395658771061,8.901566520858637,0.007843458069178322,MATERIAL_PANEL_RESPONSE,0.018618112429976463,0.0003459995451612245,104.37769317626953
DNa03_derecha,DNb02,L,12767,False,0.0,0.0,0.0,0.0,2.9e-322,0.0,7.756078198870227,-0.08510553648680279,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02372891455888748,0.000334602127656399,97.83916473388672
DNa03_derecha,DNb02,R,13922,False,0.005273752793985027,0.0013624205353743035,5.816964003813041e-07,0.005273752793985027,0.02913189228391729,0.004019396447457604,18.26748102665485,0.03607505095648018,MATERIAL_PANEL_RESPONSE,0.01638449728488922,0.0003641178906730757,114.16260528564453
DNa03_derecha,DNb02,L,529488,False,4.9784122222889134e-58,-9.723461371658034e-63,-3.982729777831131e-59,4.9784122222889134e-58,2.2492588761739828e-43,1.9913648889155653e-58,12.862609558228485,-0.012566423715240528,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019536199048161507,0.00031464450189488583,128.4536895751953
DNa03_derecha,DNb05,R,10065,False,0.0003150687323221213,0.0003150687323221213,-0.00027553697151561085,0.0003150687323221213,0.7456052058444457,-9.059303664460394e-05,15.884369369963679,0.9638075331134781,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020868588238954544,5.08413860550008e-05,566.957275390625
DNa03_derecha,DNb05,L,10118,False,0.0004957726119957373,-0.0004957726119957373,-0.0004957726119957373,4.956035581926699e-13,0.7196837893644455,-4.401616243598916e-06,17.669920759992237,0.906823227417505,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020868588238954544,6.486901658325508e-05,566.957275390625
DNa03_derecha,DNg13,L,11074,False,0.0,0.0,0.0,0.0,2.17e-322,0.0,37.847076470380216,-0.0260184988872282,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019702807068824768,0.00012994579420231195,284.58477783203125
DNa03_derecha,DNg13,R,512006,False,0.0,0.0,0.0,0.0,2.67e-322,0.0,5.256585655024594,-0.003635890630424464,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021836107596755028,0.00013072376711535907,307.74310302734375
DNa03_derecha,DNg100,L,10045,False,0.0,0.0,0.0,0.0,1.93e-322,0.0,23.63460101176861,-0.07260776630483089,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.018692342564463615,5.64052823774715e-05,663.258544921875
DNa03_derecha,DNg100,R,10056,False,0.0,0.0,0.0,0.0,2.8e-322,0.0,23.15076035757943,-0.06890346658597371,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.022916041314601898,5.7706444761764594e-05,559.1860961914062
DNa03_derecha,DNp09,L,10783,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7025600377194223,-0.327118736954995,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.0193028561770916,0.00015913539750662226,188.37411499023438
DNa03_derecha,DNp09,R,11177,False,0.0,0.0,0.0,0.0,2.77e-322,0.0,1.4547830289006924,-0.18510967187286675,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.022328896448016167,0.00019873336181496843,204.20736694335938
DNa03_derecha,LAL013,R,14674,False,0.0,0.0,0.0,0.0,0.0,0.0,11.236133623276146,-0.3892094033503464,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.01963917538523674,0.0005575017035691652,55.06699752807617
DNa03_derecha,LAL013,L,512258,False,0.0,0.0,0.0,0.0,2.7e-322,0.0,0.4717557513201882,-0.52348158776203,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021951518952846527,0.0006989319379934785,52.0065803527832
