type,side,time_ms,n,odor_left,odor_right,uniform,sham,anti_odor,common_vs_sham
LAL171,R,220,1,5.8865825489355855e-06,5.8865826205563013e-06,5.8865826477225783e-06,5.886582521797945e-06,-3.5810357924029009e-14,6.2947998864196913e-14
LAL171,R,320,1,2.5963862742934301e-08,2.5963863058830921e-08,2.5963863178652787e-08,2.5963862623238845e-08,-1.5794830989784689e-16,2.7764376817346478e-16
LAL171,R,335,1,1.1509202052205263e-08,1.150920219223518e-08,1.1509202245349536e-08,1.1509201999146926e-08,-7.0014958425639153e-17,1.2307329662909248e-16
DNa02,L,0,1,6.7937777207044388e-51,6.7937777207044388e-51,6.7937777207044388e-51,6.7937777207044388e-51,0,0
DNa02,L,1,1,6.5059765051305802e-51,6.5059765051305802e-51,6.5059765051305802e-51,6.5059765051305802e-51,0,0
DNa02,L,20,1,0.063141068654786303,0.063141066821414488,0.063141075001458033,0.063141062373898355,9.1668590773696934e-10,5.364202040891719e-09
DNa02,L,40,1,0.031121330058903676,0.031121272311535053,0.031121348859316694,0.031121249082256643,2.8873684311536696e-08,5.2102962722067048e-08
DNa02,L,60,1,0.013094269996422105,0.013094245699271713,0.013094277906677984,0.013094235925574956,1.2148575196171962e-08,2.1922271952606875e-08
DNa02,L,100,1,0.0023180754936631856,0.0023180711923444491,0.0023180768940138968,0.0023180694621092505,2.1506593682590197e-09,3.8808945670813777e-09
DNa02,L,160,1,0.00017266209330229053,0.00017266177291811941,0.00017266219760755924,0.0001726616440413708,1.6019208556221701e-10,2.8906883416351774e-10
DNa02,L,220,1,1.2860753907724402e-05,0.010487022529186507,0.0042801434957205932,0.00018097603708743659,-0.0052370808876393915,0.0050689656044596793
DNa02,L,320,1,0.20899977248906534,0.26069279158294034,0.26238187262765605,0.21950871664455091,-0.025846509546937499,0.015337565391451924
DNa02,L,335,1,0.10918504813377947,0.13735488470675591,0.13877455470076194,0.11467509991607039,-0.014084918286488224,0.0085948665041973016
DNa02,R,0,1,2.6185479229586067e-322,2.6185479229586067e-322,2.6185479229586067e-322,2.6185479229586067e-322,0,0
DNa02,R,1,1,4.0057275090496397e-06,4.0057275090496397e-06,4.0057275090496397e-06,4.0057275090496397e-06,0,0
DNa02,R,20,1,0.17711202750846017,0.17711201266569568,0.17711203606096532,0.17711200738606192,7.4213822448543354e-09,1.2701016016691824e-08
DNa02,R,40,1,0.13475606249204217,0.13475599084900755,0.13475698031009523,0.13475511295574558,3.5821517307965678e-08,9.1371477928259281e-07
DNa02,R,60,1,0.052666870943742693,0.05266684294341089,0.052667229655655332,0.052666499835351079,1.4000165901584261e-08,3.5710822571255463e-07
DNa02,R,100,1,0.0080448124713249844,0.0080448081943019865,0.008044867264215055,0.0080447557848851037,2.138511498959994e-09,5.4547928380818678e-08
DNa02,R,160,1,0.00048026787442389108,0.00048026761908956703,0.00048027114550881973,0.00048026449029578422,1.2766716202543445e-10,3.256460944867437e-09
DNa02,R,220,1,2.8671548532150275e-05,2.8671533288927002e-05,2.8671743812899244e-05,2.8671346502827767e-05,7.621611636149145e-12,1.9440771087340914e-10
DNa02,R,320,1,0.00022268232697114103,2.6145499252947072e-07,2.6145691229228988e-07,2.6145328923171896e-07,0.00011121043598930578,0.00011121043769260354
DNa02,R,335,1,0.00011007220183590606,1.2923758746440111e-07,1.2923853640598702e-07,1.2923674552181646e-07,5.4971482124220829e-05,5.4971482966163413e-05
