grupo,ids,n,baseline_sham,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro,primer_impar_negativo_3muestras_ms,R_sham_entrada_L,R_sham_entrada_R
CB4103|R,63500;95815;513690,3,19.50204858330392,-0.20382485956558816,-0.09586215164911237,-0.10940959611323758,-0.053981353958237895,-0.1498435056073503,0.013547444464125213,-0.09441526345235057,0.19027741510146295,16,-0.09586215164911238,0.0
CB3376|L,18197;56193,2,-19.423692422350648,-1.6445008976824829,-1.538373497702427,-2.0933982353234817,-0.05306369999002788,-1.591437197692455,0.555024737621055,0.4488973376409993,1.0894761600614278,16,0.0,1.5383734977024268
WED127|L,513782,1,-7.6251464875099675,-0.8161077751684213,-0.7116817020388039,-0.9044924440423545,-0.05221303656480871,-0.7638947386036125,0.19281074200355075,0.08838466887393331,0.6232970331648706,186,0.0,0.7116817020388039
AOTU002_b|R,29622,1,4.8569986125105205,-0.6201093724609975,-0.5182772069539108,-0.4795246804154184,-0.0509160827535434,-0.5691932897074542,-0.03875252653849236,-0.14058469204557913,0.65886189899949,29,-0.5182772069539108,0.0
CL123_b|L,74590,1,0.29872128691224703,0.009213408364411235,0.10321508553859955,0.11826607982320446,-0.04700083858709414,0.0562142469515054,-0.015050994284604933,-0.10905267145879324,0.005837585920193701,103,0.10321508553859955,0.0
VES106|R,530154,1,-97.52994593193412,-0.1009753877836518,-0.007083218358214582,-0.04020647193786873,-0.046946084712718605,-0.05402930307093272,0.03312325357965415,-0.06076891584578307,0.06785213420399765,16,-0.007499878282944213,-0.00041665992472885344
LC33|L,13534;17843;517845,3,-38.137294725518515,-0.08386905514147582,0.008894280300842569,-0.04504127666009254,-0.04638166772115919,-0.03748738742031693,0.05393555696093511,-0.038827778481383274,0.029933498180540707,196,0.008894280300842668,0.0
AN02A002|R,10180,1,3.4900023416430863,0.038355781636854415,0.12850928150363666,0.13173979935519425,-0.045076749933391135,0.08343253157024556,-0.0032305178515575766,-0.09338401771833983,-0.03512526378529684,218,-0.042836427167878895,-0.17134570867151558
PS203|L,515520,1,-0.803513946873543,0.012490025983680477,0.10109370611100577,0.07649301307902324,-0.04430184006366264,0.056791866047343105,0.024600693031982528,-0.06400298709534277,-0.037090719015663014,26,0.0,-0.10109370611100575
CB2497|L,36147;43445,2,120.71958082258698,0.1193267445548323,0.20627310181878641,0.24360006320917016,-0.04347317863197705,0.16279992318680908,-0.037326961390383766,-0.12427331865433787,-0.08199978316444854,153,0.20627310181878605,0.0
LAL021|R,28708;37588;118264;556343,4,-29.661663728885497,-0.3675538955821223,-0.2821113419406466,-0.33477600856070777,-0.042721276820737876,-0.3248326187613846,0.05266466662006126,-0.032777887021414494,0.31488922896206106,16,0.0,0.28211134194064663
IN17A051|L,82912,1,5.473276362113064,-0.19613083930656533,-0.11250186188564215,-0.14274798121872995,-0.041814488710461596,-0.15431635059610377,0.030246119333087785,-0.0533828580878354,0.1658847199734776,16,-0.11250186188564214,0.0
IN08A026|L,807133;934876,2,-9.676228165042618,0.003396510975719813,0.08691658994078737,0.0861145356716813,-0.041760039482533776,0.045156550458253585,0.0008020542691060628,-0.08271802469596148,-0.004198565244825876,16,0.08691658994078738,0.0
AVLP746m|L,14505;15240;522344,3,1.4855530940888635,0.00936460242691276,0.0915265108342873,0.07955237074453765,-0.041080954203687264,0.050445556630600026,0.01197414008974964,-0.0701877683176249,-0.0213387425166624,68,0.169977804907315,0.07845129407302769
PS042|R,28892;47760,2,-34.686989926522486,0.02965779175015906,0.10973708149600901,0.461804951644184,-0.04003964487292498,0.06969743662308393,-0.3520678701481751,-0.432147159894025,0.322410078398016,145,0.0,-0.10973708149600905
CB0164|R,17472,1,-5.330529886837228,0.0324941665287977,0.10697620209083385,0.12724110993064192,-0.03724101778101808,0.06973518430981579,-0.020264907839808083,-0.09474694340184424,-0.012229258688989613,211,0.10697620209083389,0.0
PS221|R,18787;22277;515720,3,-6.336731934441386,-0.27583055939137585,-0.20152452787259642,-0.29687791942911956,-0.037153015759389736,-0.23867754363198604,0.09535339155652313,0.021047360037743674,0.18047716783485274,167,0.0,0.20152452787259642
DNp18|L,10048,1,15.489900135904449,0.0358451239231951,0.10809514586910068,0.12025248985514594,-0.03612501097295279,0.07197013489614792,-0.012157343986045259,-0.08440736593195083,-0.023687779937149846,37,0.10809514586910063,0.0
IN11A036|R,810489;815962,2,-11.571435557209181,0.028447427317592342,0.0972555914612194,0.12117931856901007,-0.03440408207181353,0.06285150938940588,-0.023923727107790664,-0.09273189125141772,-0.004523700209801679,16,0.0,-0.09725559146121937
